login_attempts,access_hour,requests_per_min,ip_risk,device_change,geo_change,failed_logins,label
5,22,4,0,0,1,4,1
1,2,3,1,0,0,4,1
8,17,20,0,0,0,1,0
7,11,47,1,1,1,0,1
1,10,19,1,1,1,2,0
15,8,51,1,1,0,1,1
11,19,56,1,0,1,2,1
7,16,17,0,0,0,5,1
10,3,53,1,1,0,3,1
5,3,41,0,0,1,0,1
15,12,38,1,1,1,4,1
5,10,35,1,1,0,4,1
15,3,39,1,1,1,5,1
2,22,25,0,1,0,2,0
12,4,59,1,1,0,1,1
8,14,44,0,0,1,1,1
2,6,33,0,1,0,3,0
1,0,38,0,1,1,1,0
12,8,44,0,0,0,0,1
1,19,24,1,0,1,0,0
9,21,59,1,1,1,1,1
11,6,53,1,0,1,4,1
12,3,39,1,0,0,2,1
9,1,49,1,0,1,0,1
6,16,31,1,0,0,5,1
7,4,30,0,0,0,3,0
3,17,37,0,1,0,2,0
5,6,39,1,0,1,2,0
5,15,28,1,1,0,1,0
5,23,20,1,0,0,2,0
1,4,26,0,1,0,5,1
7,6,25,0,1,1,3,0
6,18,20,1,1,1,1,0
14,19,5,1,0,1,4,1
2,15,24,0,1,0,1,0
1,21,4,0,0,1,5,1
7,11,44,1,0,0,3,1
9,21,53,1,1,1,0,1
5,10,35,1,0,0,3,0
12,5,8,1,1,0,2,1
5,22,9,1,1,1,3,0
2,13,16,0,0,0,5,1
6,2,21,1,1,1,3,0
7,9,24,1,0,0,3,0
2,0,16,1,0,0,4,1
10,9,39,0,0,1,3,1
7,8,23,1,0,0,5,1
14,1,37,1,1,1,2,1
10,10,27,0,1,1,1,1
8,9,17,0,1,1,3,0
1,18,17,0,1,0,1,0
1,9,21,0,1,1,1,0
14,2,16,1,0,0,3,1
7,16,3,1,0,1,0,0
9,14,4,0,0,0,4,1
7,3,42,1,1,1,3,1
3,23,20,1,0,1,5,1
4,5,23,0,1,0,5,1
3,12,18,1,0,1,2,0
1,14,25,1,0,1,1,0
1,19,5,1,1,0,1,0
